Date,3-026
2016-12-21,397.0
2016-12-22,432.0
2016-12-23,394.0
2016-12-24,224.0
2016-12-25,128.0
2016-12-26,233.0
2016-12-27,270.0
2016-12-28,377.0
2016-12-29,372.0
2016-12-30,22.0
2016-12-31,27.0
2017-01-01,0.0
2017-01-02,271.0
2017-01-03,318.0
2017-01-04,330.0
2017-01-05,322.0
2017-01-06,368.0
2017-01-07,325.0
2017-01-08,285.0
2017-01-09,344.0
2017-01-10,303.0
2017-01-11,336.0
2017-01-12,356.0
2017-01-13,324.0
2017-01-14,314.0
2017-01-15,263.0
2017-01-16,343.0
2017-01-17,320.0
2017-01-18,318.0
2017-01-19,320.0
2017-01-20,401.0
2017-01-21,335.0
2017-01-22,288.0
2017-01-23,308.0
2017-01-24,334.0
2017-01-25,331.0
2017-01-26,392.0
2017-01-27,456.0
2017-01-28,389.0
2017-01-29,335.0
2017-01-30,385.0
2017-01-31,346.0
2017-02-01,275.0
2017-02-02,385.0
2017-02-03,416.0
2017-02-04,367.0
2017-02-05,334.0
2017-02-06,302.0
2017-02-07,304.0
2017-02-08,362.0
2017-02-09,396.0
2017-02-10,409.0
2017-02-11,380.0
2017-02-12,320.0
2017-02-13,320.0
2017-02-14,344.0
2017-02-15,358.0
2017-02-16,354.0
2017-02-17,392.0
2017-02-18,366.0
2017-02-19,316.0
2017-02-20,338.0
2017-02-21,345.0
2017-02-22,438.0
2017-02-23,432.0
2017-02-24,395.0
2017-02-25,409.0
2017-02-26,347.0
2017-02-27,367.0
2017-02-28,374.0
2017-03-01,266.0
2017-03-02,465.0
2017-03-03,464.0
2017-03-04,416.0
2017-03-05,388.0
2017-03-06,424.0
2017-03-07,333.0
2017-03-08,366.0
2017-03-09,456.0
2017-03-10,505.0
2017-03-11,414.0
2017-03-12,455.0
2017-03-13,457.0
2017-03-14,487.0
2017-03-15,463.0
2017-03-16,453.0
2017-03-17,463.0
2017-03-18,472.0
2017-03-19,368.0
2017-03-20,372.0
2017-03-21,448.0
2017-03-22,450.0
2017-03-23,460.0
2017-03-24,465.0
2017-03-25,392.0
2017-03-26,393.0
2017-03-27,415.0
2017-03-28,440.0
2017-03-29,407.0
2017-03-30,398.0
2017-03-31,417.0
2017-04-01,417.0
2017-04-02,388.0
2017-04-03,349.0
2017-04-04,339.0
2017-04-05,307.0
2017-04-06,414.0
2017-04-07,355.0
2017-04-08,299.0
2017-04-09,253.0
2017-04-10,316.0
2017-04-11,367.0
2017-04-12,384.0
2017-04-13,425.0
2017-04-14,254.0
2017-04-15,280.0
2017-04-16,394.0
2017-04-17,282.0
2017-04-18,328.0
2017-04-19,326.0
2017-04-20,342.0
2017-04-21,319.0
2017-04-22,316.0
2017-04-23,314.0
2017-04-24,341.0
2017-04-25,383.0
2017-04-26,448.0
2017-04-27,460.0
2017-04-28,399.0
2017-04-29,378.0
2017-04-30,243.0
2017-05-01,382.0
2017-05-02,382.0
2017-05-03,343.0
2017-05-04,370.0
2017-05-05,467.0
2017-05-06,405.0
2017-05-07,396.0
2017-05-08,400.0
2017-05-09,419.0
2017-05-10,417.0
2017-05-11,402.0
2017-05-12,427.0
2017-05-13,457.0
2017-05-14,409.0
2017-05-15,356.0
2017-05-16,418.0
2017-05-17,425.0
2017-05-18,445.0
2017-05-19,528.0
2017-05-20,625.0
2017-05-21,451.0
2017-05-22,527.0
2017-05-23,471.0
2017-05-24,437.0
2017-05-25,406.0
2017-05-26,447.0
2017-05-27,432.0
2017-05-28,435.0
2017-05-29,452.0
2017-05-30,458.0
2017-05-31,449.0
2017-06-01,339.0
2017-06-02,547.0
2017-06-03,589.0
2017-06-04,556.0
2017-06-05,472.0
2017-06-06,390.0
2017-06-07,453.0
2017-06-08,502.0
2017-06-09,559.0
2017-06-10,482.0
2017-06-11,421.0
2017-06-12,459.0
2017-06-13,429.0
2017-06-14,469.0
2017-06-15,484.0
2017-06-16,540.0
2017-06-17,456.0
2017-06-18,448.0
2017-06-19,433.0
2017-06-20,485.0
2017-06-21,509.0
2017-06-22,574.0
2017-06-23,652.0
2017-06-24,553.0
2017-06-25,519.0
2017-06-26,584.0
2017-06-27,507.0
2017-06-28,556.0
2017-06-29,584.0
2017-06-30,678.0
2017-07-01,337.0
2017-07-02,458.0
2017-07-03,481.0
2017-07-04,447.0
2017-07-05,477.0
2017-07-06,493.0
2017-07-07,504.0
2017-07-08,503.0
2017-07-09,475.0
2017-07-10,459.0
2017-07-11,454.0
2017-07-12,459.0
2017-07-13,448.0
2017-07-14,485.0
2017-07-15,441.0
2017-07-16,463.0
2017-07-17,497.0
2017-07-18,526.0
2017-07-19,530.0
2017-07-20,552.0
2017-07-21,614.0
2017-07-22,506.0
2017-07-23,371.0
2017-07-24,510.0
2017-07-25,505.0
2017-07-26,579.0
2017-07-27,504.0
2017-07-28,561.0
2017-07-29,558.0
2017-07-30,503.0
2017-07-31,502.0
2017-08-01,372.0
2017-08-02,505.0
2017-08-03,547.0
2017-08-04,539.0
2017-08-05,574.0
2017-08-06,405.0
2017-08-07,479.0
2017-08-08,547.0
2017-08-09,559.0
2017-08-10,509.0
2017-08-11,569.0
2017-08-12,509.0
2017-08-13,492.0
2017-08-14,400.0
2017-08-15,395.0
2017-08-16,422.0
2017-08-17,460.0
2017-08-18,503.0
2017-08-19,491.0
2017-08-20,443.0
2017-08-21,503.0
2017-08-22,426.0
2017-08-23,482.0
2017-08-24,507.0
2017-08-25,556.0
2017-08-26,456.0
2017-08-27,433.0
