Date,1-58,1-85,1-322,1-468,1-477,2-10,2-32,2-42,3-026,3-34,3-175,3-240,3-324,3-332,3-338,4-1,4-10,4-43,5-1,5-19,5-65,5-232,5-257,6-30,6-74,7-35,7-253,8-34,8-106,8-243,8-260,8-268,9-18,9-60,10-60,gnt-2
2022-02-14 00:00:00,128.0,139.0,95.0,228.0,38.0,257.0,1205.0,1852.0,349.0,207.0,204.0,527.0,723.0,860.0,3847.0,520.0,666.0,302.0,357.0,92.0,26.0,32.0,292.0,52.0,46.0,64.0,30.0,54,163.0,57.0,326.0,625.0,31.0,25.0,44.0,270
2022-02-15 00:00:00,179.0,176.0,109.0,203.0,60.0,239.0,1094.0,2808.0,349.0,214.0,230.0,589.0,629.0,944.0,3990.0,534.0,692.0,352.0,307.0,95.0,22.0,32.0,364.0,61.0,41.0,87.0,19.0,36,171.0,73.0,265.0,516.0,16.0,17.0,45.0,269
2022-02-16 00:00:00,194.0,200.0,58.0,227.0,68.0,251.0,1110.0,2865.0,382.0,237.0,247.0,595.0,697.0,897.0,3978.0,498.0,613.0,293.0,256.0,116.0,27.0,20.0,352.0,76.0,34.0,72.0,29.0,20,131.0,61.0,296.0,576.0,28.0,13.0,41.0,278
2022-02-17 00:00:00,193.0,198.0,91.0,224.0,43.0,270.0,1097.0,2888.0,392.0,217.0,248.0,608.0,651.0,931.0,4474.0,579.0,732.0,356.0,283.0,83.0,32.0,43.0,357.0,67.0,48.0,41.0,14.0,35,171.0,78.0,307.0,587.0,47.0,31.0,31.0,317
2022-02-18 00:00:00,190.0,192.0,85.0,267.0,64.0,305.0,1298.0,2951.0,449.0,230.0,277.0,695.0,703.0,1189.0,4815.0,561.0,661.0,282.0,372.0,119.0,49.0,61.0,378.0,90.0,71.0,82.0,25.0,14,110.0,94.0,367.0,711.0,41.0,24.0,28.0,261
2022-02-19 00:00:00,197.0,190.0,99.0,247.0,61.0,237.0,1057.0,3207.0,333.0,186.0,222.0,608.0,656.0,1075.0,4085.0,706.0,818.0,406.0,284.0,157.0,52.0,66.0,448.0,62.0,47.0,43.0,22.0,20,138.0,121.0,383.0,622.0,37.0,22.0,41.0,169
2022-02-20 00:00:00,180.0,187.0,91.0,221.0,72.0,221.0,816.0,2319.0,357.0,217.0,235.0,524.0,708.0,812.0,2970.0,600.0,775.0,368.0,201.0,136.0,16.0,33.0,619.0,34.0,22.0,48.0,8.0,44,126.0,76.0,216.0,461.0,47.0,28.0,28.0,153
2022-02-21 00:00:00,143.0,158.0,109.0,273.0,51.0,256.0,1072.0,1790.0,351.0,139.0,219.0,545.0,692.0,883.0,4245.0,589.0,687.0,376.0,274.0,95.0,19.0,38.0,619.0,57.0,44.0,52.0,20.0,30,124.0,73.0,339.0,619.0,37.0,21.0,31.0,213
2022-02-22 00:00:00,172.0,192.0,132.0,306.0,69.0,287.0,1138.0,2971.0,372.0,218.0,233.0,574.0,674.0,938.0,4140.0,519.0,653.0,336.0,288.0,83.0,24.0,44.0,376.0,60.0,50.0,81.0,26.0,8,115.0,61.0,314.0,592.0,37.0,22.0,11.0,222
2022-02-23 00:00:00,199.0,222.0,75.0,289.0,56.0,302.0,1232.0,3015.0,418.0,225.0,256.0,568.0,682.0,934.0,4179.0,574.0,738.0,336.0,312.0,114.0,29.0,55.0,279.0,53.0,40.0,56.0,32.0,18,143.0,63.0,327.0,623.0,32.0,23.0,16.0,263
2022-02-24 00:00:00,229.0,261.0,66.0,295.0,74.0,322.0,1272.0,3242.0,429.0,224.0,289.0,654.0,711.0,1133.0,4252.0,659.0,786.0,400.0,300.0,126.0,28.0,50.0,266.0,71.0,57.0,86.0,39.0,36,148.0,87.0,368.0,674.0,53.0,32.0,25.0,300
2022-02-25 00:00:00,199.0,232.0,72.0,268.0,84.0,349.0,1370.0,2978.0,446.0,216.0,298.0,682.0,755.0,1188.0,4469.0,742.0,901.0,434.0,327.0,106.0,44.0,76.0,320.0,68.0,53.0,102.0,30.0,16,183.0,100.0,356.0,688.0,55.0,35.0,37.0,281
2022-02-26 00:00:00,210.0,274.0,95.0,231.0,95.0,363.0,1287.0,2894.0,401.0,178.0,233.0,606.0,730.0,1019.0,3756.0,772.0,897.0,408.0,281.0,103.0,29.0,46.0,277.0,82.0,67.0,32.0,26.0,34,139.0,94.0,308.0,546.0,40.0,24.0,38.0,175
2022-02-27 00:00:00,194.0,242.0,88.0,209.0,78.0,281.0,897.0,2167.0,428.0,214.0,289.0,594.0,669.0,977.0,2950.0,706.0,889.0,443.0,235.0,124.0,43.0,70.0,336.0,63.0,44.0,39.0,17.0,37,161.0,73.0,223.0,441.0,56.0,32.0,24.0,164
2022-02-28 00:00:00,173.0,202.0,121.0,354.0,101.0,296.0,1131.0,1678.0,342.0,179.0,227.0,604.0,680.0,956.0,4452.0,540.0,646.0,338.0,295.0,72.0,33.0,52.0,348.0,61.0,41.0,61.0,22.0,41,165.0,90.0,355.0,733.0,36.0,24.0,37.0,239
2022-03-01 00:00:00,218.0,243.0,120.0,277.0,87.0,279.0,1106.0,2844.0,393.0,227.0,276.0,650.0,656.0,1010.0,4526.0,591.0,718.0,362.0,246.0,99.0,23.0,48.0,223.0,70.0,54.0,87.0,24.0,12,149.0,65.0,322.0,636.0,53.0,20.0,65.0,267
2022-03-02 00:00:00,240.0,289.0,77.0,357.0,110.0,356.0,1225.0,3026.0,432.0,203.0,289.0,637.0,677.0,1093.0,4742.0,612.0,717.0,381.0,282.0,102.0,39.0,55.0,355.0,73.0,53.0,52.0,23.0,76,188.0,108.0,344.0,640.0,24.0,13.0,30.0,287
2022-03-03 00:00:00,209.0,264.0,93.0,338.0,95.0,360.0,1287.0,2968.0,404.0,228.0,274.0,641.0,697.0,1060.0,4398.0,607.0,758.0,366.0,310.0,108.0,47.0,67.0,333.0,65.0,45.0,78.0,23.0,45,172.0,73.0,373.0,689.0,42.0,26.0,46.0,273
2022-03-04 00:00:00,252.0,328.0,63.0,390.0,123.0,432.0,1558.0,2982.0,536.0,339.0,375.0,838.0,720.0,1287.0,4906.0,769.0,922.0,432.0,403.0,103.0,73.0,83.0,306.0,116.0,85.0,114.0,49.0,45,174.0,124.0,422.0,826.0,49.0,30.0,37.0,281
2022-03-05 00:00:00,214.0,306.0,92.0,310.0,133.0,413.0,1423.0,3259.0,467.0,289.0,304.0,644.0,725.0,1073.0,4060.0,991.0,1192.0,561.0,332.0,145.0,56.0,66.0,559.0,86.0,65.0,33.0,17.0,50,169.0,116.0,362.0,744.0,41.0,21.0,34.0,174
2022-03-06 00:00:00,207.0,284.0,87.0,353.0,132.0,349.0,1344.0,2486.0,519.0,234.0,324.0,636.0,680.0,966.0,2898.0,816.0,1110.0,518.0,326.0,148.0,75.0,68.0,361.0,77.0,54.0,47.0,19.0,26,137.0,69.0,240.0,459.0,23.0,18.0,6.0,141
2022-03-07 00:00:00,193.0,239.0,105.0,398.0,115.0,305.0,1107.0,1904.0,365.0,177.0,253.0,536.0,738.0,938.0,4029.0,593.0,694.0,367.0,268.0,94.0,37.0,29.0,286.0,63.0,50.0,43.0,15.0,49,178.0,89.0,390.0,774.0,39.0,15.0,20.0,236
2022-03-08 00:00:00,235.0,279.0,135.0,318.0,115.0,349.0,1198.0,3034.0,426.0,251.0,308.0,594.0,711.0,969.0,6498.0,593.0,695.0,347.0,274.0,111.0,35.0,49.0,257.0,85.0,67.0,88.0,25.0,33,168.0,71.0,346.0,695.0,32.0,24.0,37.0,247
